botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
KrBot,0,15111,22,0,85,0,0,0
DeltaBot,0,5644,0,6,57,0,0,0
Mr.Ibrahembot,24,10445,73,107,0,0,0,0
Reinheitsgebot,71,384,0,35,0,0,0,0
JarBot,0,7338,0,0,0,0,0,0
Pi bot,0,1486,0,0,0,0,0,0
EranBot,0,0,26,0,0,0,0,0
Florentyna,0,585,122,2,5,0,0,0
EmausBot,1,90,0,34,0,0,0,0
PreferentialBot,0,3,0,0,0,0,0,0
Github-wiki-bot,0,265,0,0,79,0,0,0
PBot,0,22,0,0,0,0,0,0
Krdbot,0,0,2,5,0,0,0,0
ShonagonBot,0,3,0,0,3,0,0,0
KabouterBot,0,760,0,0,0,0,0,0
MatSuBot,54,83,0,0,26,0,0,0
ValterVBot,0,19,0,0,0,0,0,0
ProteinBoxBot,1,603,0,0,0,0,0,0
Robbot,0,898,0,0,0,0,0,0
PLbot,318,198,0,0,1,0,0,0
QuickStatementsBot,4050,17780,48804,0,7971,0,0,0
Catabot,13,41,0,0,0,0,0,0
KasparBot,0,158,0,0,0,0,0,0
CommonsDelinker,0,13,0,0,13,0,0,0
Dexbot,0,1,0,0,0,0,0,0
Peter17-Bot,0,6568,0,0,0,0,0,0
ShBot,0,0,29,0,0,0,0,0
William Avery Bot,0,0,0,1,0,0,0,0
SuccuBot,0,212,10,0,23,0,0,0
Escarbot,0,8144,0,0,0,0,0,0
Rezabot,0,4,0,0,0,0,0,0
ListeriaBot,0,0,0,0,0,0,5,0
ZkBot,0,1,0,0,0,0,0,0
Citationgraph bot 2,0,117022,0,0,0,0,0,0
Citationgraph bot,0,4975,0,0,0,0,0,0
BotMultichillT,0,6,0,0,2,0,0,0
NikkiBot,0,63130,14343,0,0,0,0,0
Edoderoobot,0,48849,0,0,0,0,0,0
EdgarsBot,0,4,0,0,0,0,0,0
CyclingInitBot,0,60,0,0,40,0,0,0
SteinsplitterBot,0,0,0,1,0,0,0,0
Mbchbot,0,2,0,0,0,0,0,0
LocatorBot,0,9,0,0,9,0,0,0
JAnDbot,2,0,0,0,0,0,0,0
