botname,AS1,AS2,AS3,AS4,AS5,AS6,AS7,AS8
QuickStatementsBot,0.08006685988120175,0.4998001050876111,0.8968534507735991,0.0,0,0,0.0,0
Lingua Libre Bot,0.0,0.001564891599844653,0.0,0.0,0,0,0.0,0
CommonsDelinker,0.0,0.0002741415941333699,0.0,0.0,0,0,0.0,0
DeltaBot,0.0,0.01119411509377927,0.0,0.035856573705179286,0,0,0.0,0
MatSuBot,0.0,0.0260720078587257,0.0,0.0,0,0,0.0,0
Reinheitsgebot,0.00018293207839536286,0.01859593813538026,0.0,0.05179282868525897,0,0,0.0,0
EmausBot,3.5869034979482913e-06,0.0017533639458113448,0.0,0.36254980079681276,0,0,0.0,0
Choboty,0.0,0.0064309048957119684,0.0,0.0,0,0,0.0,0
KabouterBot,0.0,0.0023130697005003084,0.0,0.0,0,0,0.0,0
ProteinBoxBot,6.815116646101753e-05,0.19782171658328193,0.0,0.0,0,0,0.0,0
Pi bot,0.0,0.0036952002375893814,0.0,0.0,0,0,0.0,0
EranBot,0.0,0.0,0.0007533174943501188,0.0,0,0,0.0,0
MineoBot,0.0,2.284513284444749e-05,0.0,0.0,0,0,0.0,0
Chobot,0.0,0.00046261394010006166,0.0,0.0,0,0,0.0,0
Github-wiki-bot,0.0,0.0006625088524889772,0.0,0.0,0,0,0.0,0
PLbot,0.0010115067864214181,0.0005882621707445229,0.0,0.0,0,0,0.0,0
Robbot,0.0,0.002741415941333699,0.0,0.0,0,0,0.0,0
KasparBot,0.0,0.0005025929225778448,0.0,0.0,0,0,0.0,0
SuccuBot,0.0,0.0,0.04757489714318827,0.0,0,0,0.0,0
Rezabot,0.0,7.995796495556621e-05,0.0,0.0,0,0,0.0,0
BotMultichillT,0.0,0.000314120576611153,0.0,0.0,0,0,0.0,0
Krdbot,0.0,0.0,0.0001158949991307875,0.01195219123505976,0,0,0.0,0
PreferentialBot,0.0,1.7133849633335617e-05,0.0,0.0,0,0,0.0,0
Peter17-Bot,0.0,0.00011422566422223746,0.0,0.0,0,0,0.0,0
KrBot,0.0,0.0001028030978000137,0.0,0.00398406374501992,0,0,0.0,0
Dexbot,0.0,3.4267699266671235e-05,0.0,0.0,0,0,0.0,0
Atobot,0.0,0.0,0.0,0.00398406374501992,0,0,0.0,0
TptBot,0.0,0.00027985287734448176,0.0,0.0,0,0,0.0,0
AliciaFagervingWMSE-bot,2.1521420987689746e-05,0.0010508761108445847,0.0,0.0,0,0,0.0,0
Mr.Ibrahembot,6.097735946512095e-05,0.0,0.0038824824708813817,0.38247011952191234,0,0,0.0,0
ZkBot,0.0,1.1422566422223746e-05,0.0,0.14741035856573706,0,0,0.0,0
NikkiBot,0.0,0.206759874808672,0.050704062119719534,0.0,0,0,0.0,0
ValterVBot,0.0,2.284513284444749e-05,0.0,0.0,0,0,0.0,0
Citationgraph bot 2,0.0,0.679242912297535,0.0,0.0,0,0,0.0,0
ListeriaBot,0.0,0.0,0.0,0.0,0,0,1.0,0
BotMultichill,0.00047347126172917446,0.011822356247001576,0.0,0.0,0,0,0.0,0
Florentyna,0.0,1.7133849633335617e-05,5.794749956539375e-05,0.0,0,0,0.0,0
Citationgraph bot,0.0,0.0203493020811916,0.0,0.0,0,0,0.0,0
PintochBot,0.0,0.24463710506476596,0.0,0.0,0,0,0.0,0
Edoderoobot,0.0,0.5203264569483471,0.0,0.0,0,0,0.0,0
NoclaimsBot,0.0,6.28241153222306e-05,0.0,0.0,0,0,0.0,0
MalarzBOT,0.0,0.0,5.794749956539375e-05,0.0,0,0,0.0,0
DæghrefnBot,1.0760710493844873e-05,2.8556416055559365e-05,0.0,0.0,0,0,0.0,0
Steenthbot,0.0013092197767511262,0.0,0.0,0.0,0,0,0.0,0
